author,ulasan,like,publis
@alizaenal01,"Desain gag mirip, bagus nih modelnya, iphon Boba 3 kayak model kuno",0,2025-12-21T16:32:53Z
@nopeli747,Harga 18juta sd 22 jutaan tu di shoopie edan😅😅😅😅😅,0,2025-12-21T13:54:26Z
@atangnurhayat8086,xiaomi nyenggol Iphone mulai dari kardusnya 😂😂😂😂,0,2025-12-21T11:58:34Z
@sulissulis1162,Kameranya ada bias atau pantulan cahaya nyakh?? kllo  lagi merekam???,0,2025-12-21T11:34:56Z
@rionindyo8826,"Gaji masih UMR harga HP udh puluhan juta.,🥲",0,2025-12-21T07:41:53Z
@etuzproductionmovie7010,Tetap bertahan di VIVO x200 PRO pembuatan film kami keren banget di youtube pake hp vivo❤,0,2025-12-20T22:24:30Z
@septidian54,Pgen beli hp ini ya alloh,0,2025-12-20T02:57:35Z
@hobiiku,"Coba klo inovasi layar belakang itu milik Iphone, pasti beda cerita 😂😂😂",0,2025-12-19T13:50:54Z
@oka87hardiyanto,Video kamera selfinya terlalu natural kaya kurang HDR'y,0,2025-12-19T11:46:10Z
@RaniGina-w4x,😊😊😊dri dulu suka iphone .  dri gnerasi pertma sma 17 pro max.....puas bgt slera masing2 ja ....xiomi no .,0,2025-12-19T09:07:45Z
@agusmarcell,"Mao sekeren dan semewah apa pun xm ga ada guna juga,, krna tkt bersaing di pasar globalll😢
Rilis hp flagship tp hny untuk pasar tiongkok",0,2025-12-18T08:39:57Z
@meilian8340,"Pengin xiaomi 17 pro max-nya soalnya lucu, semoga tahun depan 2026 masuk indonesia bisa kebeli Aamiin😌🙏",2,2025-12-18T03:39:56Z
@ambatukamxxxyy,Itu mungkin upgrade an dari Xiaomi mi 11 ultra mungkin,0,2025-12-17T18:14:47Z
@mukhlisemka3076,yg di tiru pasti lebih baik dr pd yg meniru,0,2025-12-16T15:19:05Z
@SEMPAK_helloKITTY,"oowwhhh android..sampah,banyak gimik doangg",0,2025-12-16T03:34:47Z
@rivansovian2227,Salam semua sehat selamat sukses sejahtera selalu❤🤲🏼🇮🇩,0,2025-12-16T01:54:20Z
@HaleyoraPower-i2f,Android hp² kelas mahal apa ga pgn update kamera depan yg hanya bulet kecil ya. Mksutnya di kah variasi atau 2 kamera. D ksh tompel warna hitam mungkin lebih klihatan bgus. Contoh kamera² nya Iphone jadi lebih keren. Masak smua andro kelas mahal pun hanya titik kecil tengah.,0,2025-12-16T00:07:43Z
@WongSugih-r5w,"Sebisa mgkn xiaomi 17 pro jgn masuk konoha dlu... 
Nggu iphone 17 pro laku dulu...

Klo smpe xiaomi 17 pro masuk dulu ..nnt kasian iphone gak balik modal kluar byk fee buat oknum😅😅😅😅😅

Lagu lama beras pera menjegal xiaomi jgn masuk dulu deh😅😅😅😅",1,2025-12-15T12:47:37Z
@abdulLatif-or8gr,Bang David mang bagus penjelasannya 😊,0,2025-12-15T10:14:07Z
@rileyheadquarters,Itu bagian lubangnya buat nyindir logo apple itu wkwkw,4,2025-12-15T01:06:41Z
